Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
EFES,1998,0,1,70,597870000000000,236,1.2634609887986414,216,-0.5362805207138163,8,Holdingler ve yatirim sirketleri,FALSE,16,6,0,TRUE,0,0,0,1,NA,FALSE
EGBRA,1998,0,1,488,85131648e9,236,1.6331394736807425,247,0.21102442830588153,10,Malt bira,FALSE,5,0,1,FALSE,3,342689.3259620819,88613,1,NA,TRUE
EGDIS,1998,0,1,158,61e15,236,1.0758128258404565,247,-0.7594583957038541,13,ara ureticiler tekstil,FALSE,12,0,1,FALSE,0,0,0,1,NA,FALSE
EGEEN,1998,0,1,500,7350000000000,236,0.5456154100956838,247,0.1904298402586122,1,Araba,FALSE,8,3,0,TRUE,0,0,0,1,NA,FALSE
EGGUB,1998,0,1,167,3369600000000,235,0.8277511307665079,247,0.5363787958876248,33,gubre,FALSE,4,0,1,FALSE,2,744976.9637113919,192637,1,NA,TRUE
EGIYM,1998,0,1,44,1725e14,236,0.30452504002926695,246,0.003227483652174179,13,ara ureticiler tekstil,TRUE,12,1,1,TRUE,5,38280414.84022878,20246000,1,NA,TRUE
EGPRO,1998,0,0,193,4590000000000,236,1.7174197137686646,247,-1.0285640134997966,58,plastik,FALSE,4,2,1,TRUE,0,0,0,0,NA,FALSE
EMEK,1998,0,1,122,4288375e9,151,0.5697486000669159,247,0.11417227507136563,61,sigorta sirketleri,TRUE,7,0,1,FALSE,0,0,0,1,NA,FALSE
EMKEL,1998,0,0,278,6864000000000,235,1.3030845177082908,162,-0.5012561727498397,28,elektronik kablo etc,FALSE,6,0,1,FALSE,0,0,0,0,NA,FALSE
EMNIS,1998,0,1,116,5865850000000,236,1.016266857613106,247,0.14555396479891552,53,paper products,FALSE,9,2,0,TRUE,0,0,0,1,NA,FALSE
ENKA,1998,0,1,21,3189375e11,236,2.0154365989864633,247,-0.6728995277089709,39,insaat isleri,TRUE,3,0,1,FALSE,0,0,0,1,NA,FALSE
EPLAS,1998,0,0,475,5880000000000,236,1.0353500918901448,247,-0.7605321209378032,58,plastik,FALSE,4,2,0,TRUE,0,0,0,0,NA,FALSE
ERBOS,1998,0,0,353,3828000000000,236,1.5448993912965265,247,-0.030771658666753354,16,boru,FALSE,2,0,1,FALSE,1,102002.7948672979,26376000000,0,NA,TRUE
ERCYS,1998,0,1,493,342e15,236,1.59986846141795,247,-0.3007388885964968,10,Malt bira,TRUE,5,0,1,FALSE,1,58008.86878258527,15000,1,NA,TRUE
EREGL,1998,0,1,6240,228096000000000,236,2.2111409625960663,246,-1.0185695809945754,21,demir celik,TRUE,3,0,1,FALSE,4,132343000,37268171.54295501,1,NA,TRUE
ESBNK,1998,0,0,2241,70875000000000,231,0.7559480817989757,247,-0.21020802475028422,2,Bankalar,FALSE,16,4,0,TRUE,0,0,0,0,NA,FALSE
ESEMS,1998,0,0,512,10920000000000,236,1.058606954054408,247,-0.717073289992663,62,son giyilecek clothes tekstil,FALSE,12,5,0,TRUE,0,0,0,0,NA,FALSE
