Firm,Year,Employment
VAKKO,1999,850
VANET,1999,188
VESTL,1999,3476
VKFYT,1999,10
VKING,1999,241
YABNK,1999,1784
YASAS,1999,702
YAZIC,1999,2
YKBNK,1999,10418
YKFIN,1999,73
YKRYO,1999,3
YTFYO,1999,2
YUNSA,1999,767
ZOREN,1999,160
ABANA,2000,23
ACIBD,2000,77
ADANA,2000,510
ADEL,2000,164
AEFES,2000,1218
AFYON,2000,130
AGIDA,2000,1000
AKBNK,2000,8244
AKCNS,2000,939
AKENR,2000,194
AKFIN,2000,45
AKIPD,2000,1480
AKSA,2000,639
AKSUE,2000,21
AKTAS,2000,482
AKYO,2000,3
ALARK,2000,43
ALCAR,2000,772
ALCTL,2000,778
ALFA,2000,179
ALKA,2000,215
ALKIM,2000,173
ALNTF,2000,738
ALTIN,2000,1656
ALYAG,2000,329
ANACM,2000,1875
ANHYT,2000,258
ANSGR,2000,315
ARAT,2000,1000
ARCLK,2000,5830
ARENA,2000,235
ARFYO,2000,4
ARSAN,2000,1017
ASELS,2000,2945
ASLAN,2000,275
ASUZU,2000,749
ATAYO,2000,2
ATLAS,2000,4
ATSYO,2000,5
AVRSY,2000,3
AYCES,2000,160
AYEN,2000,61
AYGAZ,2000,626
BAGFS,2000,400
BAKAB,2000,241
BANVT,2000,1954
BEKO,2000,1727
BERDN,2000,946
BFREN,2000,185
BISAS,2000,303
BOLUC,2000,295
BOSSA,2000,2636
BRISA,2000,1183
BRMEN,2000,1566
BROVA,2000,78
BRSAN,2000,936
BRYAT,2000,
BSOKE,2000,261
BSPRO,2000,2582
BTCIM,2000,420
BUCIM,2000,289
BUMYO,2000,4
BURCE,2000,312
BYRBY,2000,371
BYSAN,2000,
CARSI,2000,2032
CBSBO,2000,154
CELHA,2000,350
CEMTS,2000,344
CEYLN,2000,130
CIMSA,2000,516
CLEBI,2000,788
CMENT,2000,638
COMUN,2000,161
CUKEL,2000,429
CYTAS,2000,469
DARDL,2000,1525
DEMIR,2000,4225
DENCM,2000,833
DENTA,2000,339
DERIM,2000,73
DEVA,2000,951
DISBA,2000,1887
DITAS,2000,452
DMRYO,2000,2
DMSAS,2000,553
DOBUR,2000,413
DOHOL,2000,92
DOKTS,2000,1518
DUROF,2000,140
ECBYO,2000,1
ECILC,2000,867
ECYAP,2000,1743
ECZYT,2000,4
EDIP,2000,1158
EFES,2000,35
EGEEN,2000,296
EGFIN,2000,41
EGGUB,2000,166
EGHOL,2000,51
EGPRO,2000,187
EGSDIS,2000,121
EGSER,2000,1049
EGYIM,2000,39
EMEK,2000,109
EMKEL,2000,149
EMNIS,2000,127
ENKAI,2000,21
EPLAS,2000,488
ERBOS,2000,433
EREGL,2000,6393
ERSU,2000,86
ESCOM,2000,68
ESEMS,2000,131
EVREN,2000,4
FACFA,2000,28
FENIS,2000,354
FFKRL,2000,70
FINBN,2000,2322
FMIZP,2000,328
FRIGO,2000,536
FROTO,2000,4129
FVORI,2000,284
GARAN,2000,4728
GDKYO,2000,2
GEDIZ,2000,392
GENTS,2000,331
GIMA,2000,2271
GLBYO,2000,3
GLMDE,2000,506
GOLDS,2000,220
GOLTS,2000,529
GOODY,2000,1585
GORBN,2000,179
GRNYO,2000,3
GSDHO,2000,17
GUBRF,2000,520
GUMUS,2000,1273
GUSGR,2000,350
HEKTS,2000,207
HURGZ,2000,96
HZNDR,2000,96
IDAS,2000,536
IHEVA,2000,503
IHFIN,2000,286
IHLAS,2000,1357
IKTFN,2000,49
IPMAT,2000,309
ISAMB,2000,357
ISBTR,2000,16133
ISGEN,2000,50
ISYAT,2000,3
IZMDC,2000,579
IZOCM,2000,314
KAPLM,2000,121
KARSN,2000,999
KARTN,2000,324
KAVPA,2000,5
KENT,2000,1049
KEPEZ,2000,148
KERVT,2000,864
KIPA,2000,968
KLBMO,2000,448
KLMSN,2000,212
KNFRT,2000,123
KONYA,2000,166
KORDS,2000,903
KOTKS,2000,950
KRDMD,2000,4579
KRSTL,2000,182
KRTEK,2000,737
KUTPO,2000,1588
LINK,2000,107
LIOYS,2000,138
LOGO,2000,224
LUKSK,2000,125
MAALT,2000,161
MAKTK,2000,48
MARET,2000,251
MDRNU,2000,2044
MEDYA,2000,190
MEGES,2000,131
MEMSA,2000,1368
MERKO,2000,306
METAS,2000,3
MIGRS,2000,6107
MILYT,2000,44
MIPAZ,2000,118
MMART,2000,750
MNDRS,2000,1300
MRDIN,2000,198
MRSHL,2000,584
MTEKS,2000,164
MUTLU,2000,459
MYZYO,2000,3
MZHLD,2000,25
NERGS,2000,59
NIGDE,2000,147
NTHOL,2000,45
NTTUR,2000,749
NUHCM,2000,438
OKANT,2000,224
OLMKS,2000,408
OTKAR,2000,512
OZFIN,2000,8
PARSN,2000,432
PASTA,2000,180
PENGD,2000,299
PETKM,2000,6592
PETUN,2000,612
PIMAS,2000,259
PINSU,2000,306
PKENT,2000,84
PNSUT,2000,900
POLYL,2000,881
PRKAB,2000,515
PRKTE,2000,391
PRTAS,2000,98
PTOFS,2000,3356
RAKSE,2000,332
RANTL,2000,36
RAYSG,2000,183
RKSEV,2000,202
SABAH,2000,318
SANKO,2000,132
SAPAZ,2000,19
SARKY,2000,532
SASA,2000,2982
SELGD,2000,354
SERVE,2000,91
SEZGD,2000,1072
SIFAS,2000,1484
SISE,2000,345
SKBNK,2000,2878
SKPLC,2000,872
SKTAS,2000,1395
SNPAM,2000,757
SODA,2000,1064
SONME,2000,516
SYBNK,2000,129
TACYO,2000,7
TATKS,2000,2178
TCELL,2000,2523
TEBNK,2000,1358
TEKST,2000,
TEKTU,2000,200
TEZSN,2000,30
THYAO,2000,12297
TIRE,2000,604
TNSAS,2000,5800
TOASO,2000,817
TOFAS,2000,204
TOPFN,2000,34
TPBNK,2000,2516
TPFAC,2000,23
TRCAS,2000,192
TRKCM,2000,1526
TRNSK,2000,50
TSKB,2000,361
TUDDF,2000,933
TUKAS,2000,614
TUMTK,2000,
TUPRS,2000,4286
UCAK,2000,1356
UKIM,2000,1279
UNTAR,2000,124
UNYEC,2000,225
USAK,2000,223
UZEL,2000,1916
VAKFN,2000,40
VAKKO,2000,847
VANET,2000,191
VESTL,2000,3309
VKFRS,2000,7
VKFYT,2000,6
VKING,2000,187
YASAS,2000,575
YATAS,2000,694
YAZIC,2000,2
YKBNK,2000,10170
YKFIN,2000,70
YKRYO,2000,3
YKSGR,2000,409
YTFYO,2000,2
YUNSA,2000,705
ZOREN,2000,178
INTEM,2000,249
ABANA,2001,10
ACIBD,2001,118
ADANA,2001,480
ADEL,2001,161
AEFES,2001,1181
AFYON,2001,126
AGIDA,2001,1012
AKBNK,2001,8403
AKENR,2001,223
AKFIN,2001,35
AKGRT,2001,374
AKIPD,2001,1370
AKSA,2001,643
AKSUE,2001,21
AKTAS,2001,481
AKYO,2001,3
ALARK,2001,37
ALCAR,2001,749
ALCTL,2001,561
ALFA,2001,108
ALKA,2001,225
ALNTF,2001,635
ALTIN,2001,1423
ALYAG,2001,285
ANACM,2001,1781
ANHYT,2001,250
ANSGR,2001,301
ARAT,2001,1164
ARCLK,2001,5589
ARENA,2001,172
