Firm,Year,Employment
ASYAB,2007,3300
ATAYO,2007,2
ATLAS,2007,4
ATSYO,2007,3
AVIVA,2007,198
AVRSY,2007,5
AYCES,2007,180
AYEN,2007,73
BAGFS,2007,330
BAKAB,2007,292
BANVT,2007,2023
BEKO,2007,2637
BERDN,2007,643
BFREN,2007,289
BISAS,2007,175
BJKAS,2007,72
BOLUC,2007,248
BOSSA,2007,1977
BOYNR,2007,2105
BRISA,2007,1664
BRMEN,2007,655
BROVA,2007,30
BRSAN,2007,1505
BRYAT,2007,18
BSHEV,2007,3440
BSOKE,2007,310
BTCIM,2007,382
BUCIM,2007,332
BUMYO,2007,6
BURCE,2007,222
BURVA,2007,44
BYSAN,2007,332
CARFA,2007,7068
CBSBO,2007,51
CCOLA,2007,4882
CELHA,2007,318
CEMTS,2007,330
CEYLN,2007,80
CLEBI,2007,4200
CMBTN,2007,122
CMENT,2007,531
CRDFA,2007,39
CYTAS,2007,331
DARDL,2007,910
DENCM,2007,733
DENIZ,2007,7577
DENTA,2007,615
DERIM,2007,51
DESA,2007,1507
DEVA,2007,1922
DGATE,2007,41
DGZTE,2007,1089
DITAS,2007,527
DMSAS,2007,634
DNZYO,2007,2
DOAS,2007,1855
DOBUR,2007,377
DOHOL,2007,16467
DOKTS,2007,2006
DURDO,2007,335
DYHOL,2007,45
DYHOL,2007,45
DYOBY,2007,717
ECBYO,2007,1
ECILC,2007,20
ECZYT,2007,3
EGCYO,2007,5
EGEEN,2007,335
EGFIN,2007,3
EGGUB,2007,165
EGHOL,2007,
EGIYM,2007,
EGPRO,2007,403
EGSER,2007,1182
EMBYO,2007,2
EMKEL,2007,151
EMNIS,2007,105
ENKAI,2007,46018
EPLAS,2007,303
ERBOS,2007,414
EREGL,2007,7463
ERSU,2007,146
ESCOM,2007,91
ESEMS,2007,6
FENER,2007,18
FENIS,2007,474
FFKRL,2007,135
FINBN,2007,9061
FMIZP,2007,1
FNSYO,2007,3
FONFK,2007,46
FORTS,2007,5044
FRIGO,2007,307
FROTO,2007,9521
FVORI,2007,2008
GARAN,2007,14517
GARFA,2007,90
GDKYO,2007,2
GEDIZ,2007,209
GENTS,2007,357
GEREL,2007,170
GLYHO,2007,62
GOLDS,2007,715
GOLTS,2007,342
GOODY,2007,1391
GRNYO,2007,5
GSDHO,2007,24
GSRAY,2007,11
GUBRF,2007,435
GUSGR,2007,513
HALKB,2007,11484
HDFYO,2007,2
HEKTS,2007,277
HZNDR,2007,200
IBTYO,2007,2
IDAS,2007,385
IHEVA,2007,257
IHLAS,2007,790
INDES,2007,323
INFYO,2007,3
INTEM,2007,287
IPMAT,2007,243
ISAMB,2007,181
ISBTR,2007,19414
ISFIN,2007,97
ISGSY,2007,10
ISMEN,2007,289
ISYAT,2007,4
IZMDC,2007,740
KAPLM,2007,121
KAREL,2007,673
KARSN,2007,846
KARTN,2007,277
KAVPA,2007,3
KCHOL,2007,205
KENT,2007,1819
KERVT,2007,960
KIPA,2007,7117
KLBMO,2007,372
KLMSN,2007,840
KNFRT,2007,123
KOCTF,2007,126
KONYA,2007,190
KORDS,2007,4951
KOZAD,2007,33
KRDMD,2007,3240
KRSTL,2007,67
KRTEK,2007,624
KUTPO,2007,716
LINK,2007,2102
LOGO,2007,235
LUKSK,2007,152
MAALT,2007,212
MAKTK,2007,251
MEDYA,2007,4
MEGES,2007,66
MEMSA,2007,345
MERKO,2007,247
METUR,2007,5
METYO,2007,3
MIPAZ,2007,42
MNDRS,2007,4182
MRBYO,2007,2
MRDIN,2007,323
MRSHL,2007,435
MRTGG,2007,195
MTEKS,2007,64
MUTLU,2007,476
MYZYO,2007,2
MZBYO,2007,3
MZHLD,2007,17
MIGRS,2007,13659
NERGS,2007,3
NETAS,2007,1025
NTHOL,2007,48
NTTUR,2007,77
NUHCM,2007,457
OKANT,2007,6
OLMKS,2007,708
OTKAR,2007,1124
OYAYO,2007,2
OZFIN,2007,7
PARSN,2007,657
PENGD,2007,183
PETKM,2007,3356
PETUN,2007,561
PIMAS,2007,201
PINSU,2007,347
PKART,2007,99
PKENT,2007,31
PNSUT,2007,791
POLYL,2007,14
PRKAB,2007,427
PRKTE,2007,393
PRTAS,2007,13
PTOFS,2007,1205
RAYSG,2007,232
RYSAS,2007,288
SABAH,2007,5
SAHOL,2007,203
SANKO,2007,115
SAPAZ,2007,0
SARKY,2007,693
SASA,2007,1538
SEKFK,2007,28
SELEC,2007,4554
SELGD,2007,32
SERVE,2007,79
SIFAS,2007,1056
SILVR,2007,267
SISE,2007,401
SKBNK,2007,3824
SKPLC,2007,1066
SKTAS,2007,1206
SNPAM,2007,365
SODA,2007,1777
SONME,2007,255
TACYO,2007,2
TATKS,2007,1051
TAVHL,2007,10792
TBORG,2007,195
TCELL,2007,9989
TCRYO,2007,3
TEBNK,2007,5141
TEKFK,2007,29
TEKST,2007,1312
TEKST,2007,
TEKTU,2007,153
THYAO,2007,12951
TIRE,2007,1135
TKBNK,2007,695
TKSYO,2007,3
TOASO,2007,1073
TRCAS,2007,23
TRNSK,2007,9
TSKB,2007,314
TSKYO,2007,2
TSPOR,2007,7
TTRAK,2007,1265
TUKAS,2007,872
TUMTK,2007,542
TUPRS,2007,4746
UCAK,2007,338
UKIM,2007,523
ULKER,2007,1363
USAK,2007,395
UZEL,2007,1482
VAKFN,2007,41
VAKKO,2007,1321
VANET,2007,80
VARYO,2007,5
VESBE,2007,2993
VESTL,2007,4699
VKFRS,2007,4
VKFYT,2007,7
VKING,2007,323
YATAS,2007,1141
YAZIC,2007,6
YKBNK,2007,14249
YKFIN,2007,171
YKRYO,2007,4
YKSGR,2007,854
YTFYO,2007,3
YUNSA,2007,1308
ZOREN,2007,270
ACIBD,2008,4921
ADANA,2008,512
AEFES,2008,18054
AFMAS,2008,542
AFYON,2008,128
AKALT,2008,584
AKBNK,2008,14981
AKCNS,2008,1132
AKENR,2008,217
AKGRT,2008,592
AKIPD,2008,650
AKSA,2008,607
AKSUE,2008,20
AKYO,2008,3
ALARK,2008,2341
ALBRK,2008,1831
ALCAR,2008,693
ALCTL,2008,594
ALKA,2008,192
ALKIM,2008,121
ALNTF,2008,1006
ALTIN,2008,1928
ALYAG,2008,153
ANACM,2008,5095
ANELT,2008,446
ANHYT,2008,566
ANSGRT,2008,775
ARCLK,2008,12172
ARENA,2008,233
ARSAN,2008,1248
ASLAN,2008,477
ASUZU,2008,803
ASYAB,2008,3806
ATAYO,2008,2
ATLAS,2008,4
ATSYO,2008,3
AVIVA,2008,204
AVRSY,2008,5
AYCES,2008,159
AYEN,2008,89
BAGFS,2008,322
BAKAB,2008,295
BANVT,2008,2510
BERDN,2008,611
BFREN,2008,227
BISAS,2008,86
BJKAS,2008,70
BOLUC,2008,246
BOSSA,2008,1747
BOYNR,2008,2355
BRMEN,2008,47
BRSAN,2008,1248
BRYAT,2008,17
BSHEV,2008,3336
BSKYO,2008,3
BSOKE,2008,280
BTCIM,2008,370
BUCIM,2008,339
BUMYO,2008,6
BURCE,2008,198
BURVA,2008,38
BYSAN,2008,285
CARFA,2008,7112
CBSBO,2008,17
CCOLA,2008,10579
CELHA,2008,327
CEMTS,2008,293
CEYLN,2008,1
CIMSA,2008,970
CLEBI,2008,4383
CMBTN,2008,123
COMDO,2008,1523
CRDFA,2008,60
CYTAS,2008,101
DARDL,2008,860
DENCM,2008,632
DENIZ,2008,8255
DENTA,2008,630
DERIM,2008,41
DESA,2008,1694
DEVA,2008,1721
DGATE,2008,31
DITAS,2008,521
DMSAS,2008,536
DNZYO,2008,3
DOBUR,2008,331
DOHOL,2008,
DURDO,2008,229
DYHOL,2008,36
DYOBY,2008,558
ECBYO,2008,1
ECILC,2008,20
ECZYT,2008,2
EGCYO,2008,3
EGEEN,2008,319
EGFIN,2008,4
EGGUB,2008,175
EGPRO,2008,372
EGSER,2008,741
EMBYO,2008,3
EMNIS,2008,93
ENKAI,2008,28219
EPLAS,2008,307
ERBOS,2008,259
EREGL,2008,14637
ERSU,2008,132
ESCOM,2008,13
ESEMS,2008,4
ETYAT,2008,2013
FENER,2008,11
FENIS,2008,438
FFKRL,2008,136
FINBN,2008,9986
FMIZP,2008,1
FNSYO,2008,3
FONFK,2008,37
FORTS,2008,5326
FRIGO,2008,227
FROTO,2008,8164
FVORI,2008,1
GARAN,2008,16350
GARFA,2008,120
GDKYO,2008,2
GEDIZ,2008,159
GENTS,2008,357
GEREL,2008,189
GLYHO,2008,56
GOLDS,2008,416
GOLTS,2008,330
GOODY,2008,1344
GRNYO,2008,6
GSDHO,2008,28
GSRAY,2008,9
GUBRF,2008,375
GUSGR,2008,540
HALKB,2008,12900
HDFYO,2008,2
HEKTS,2008,354
HURGZ,2008,8040
HZNDR,2008,173
IBTYO,2008,3
IDAS,2008,371
IHEVA,2008,269
IHLAS,2008,795
INFYO,2008,2
INTEM,2008,281
IPMAT,2008,145
ISAMB,2008,106
ISBTR,2008,19414
ISFIN,2008,98
ISGSY,2008,11
ISMEN,2008,340
ISYAT,2008,4
IZMDC,2008,812
IZOCM,2008,436
KAPLM,2008,114
KAREL,2008,830
KARSN,2008,848
KARTN,2008,246
KENT,2008,1659
KERVT,2008,593
KIPA,2008,6925
KLBMO,2008,243
KLMSN,2008,737
KNFRT,2008,104
KOCTF,2008,146
KONYA,2008,173
KORDS,2008,3338
KOZAA,2008,33
KRDMD,2008,3190
KRSTL,2008,67
KUTPO,2008,1390
LINK,2008,54
LOGO,2008,159
LUKSK,2008,90
MAALT,2008,111
MAKTK,2008,262
MARTI,2008,255
METUR,2008,5
MIGRS,2008,15348
MIPAZ,2008,40
MNDRS,2008,4054
MRBYO,2008,2
MRDIN,2008,320
MRSHL,2008,367
MRTGG,2008,144
MTEKS,2008,30
MYZYO,2008,2
MZBYO,2008,4
NETAS,2008,1156
NUHCM,2008,464
OKANT,2008,2
OLMKS,2008,575
OTKAR,2008,1184
OYAYO,2008,2
PARSN,2008,577
PETKM,2008,2612
PETUN,2008,543
PIMAS,2008,288
PKART,2008,130
PKENT,2008,27
POLYL,2008,9
PRKAB,2008,403
PRKTE,2008,405
PRTAS,2008,18
PTOFS,2008,1205
RAYSG,2008,261
RYSAS,2008,239
SAHOL,2008,215
SANKO,2008,95
SARKY,2008,664
SASA,2008,1299
SELEC,2008,4600
SERVE,2008,78
SIFAS,2008,564
SILVR,2008,280
SISE,2008,422
SKBNK,2008,3924
SKPLC,2008,2008
SKTAS,2008,1200
SNPAM,2008,131
SODA,2008,992
SONME,2008,15
TATKS,2008,1520
TAVHL,2008,11235
TBORG,2008,187
TCELL,2008,10594
TCRYO,2008,3
TEBNK,2008,6221
TEKFK,2008,22
TEKST,2008,1410
TEKTU,2008,152
TIRE,2008,962
TKBNK,2008,721
TKFEN,2008,14998
TKSYO,2008,3
TRCAS,2008,27
TRNSK,2008,7
TSKB,2008,328
TSKYO,2008,3
TSPOR,2008,8
TTKOM,2008,34025
TTRAK,2008,1476
TUDDF,2008,1260
TUKAS,2008,778
TUMTK,2008,271
TUPRS,2008,5467
UCAK,2008,399
UKIM,2008,366
ULKER,2008,1290
UNYEC,2008,228
USAK,2008,332
VAKBN,2008,9567
VAKFN,2008,41
VAKKO,2008,1094
VANET,2008,36
VARYO,2008,4
VESBE,2008,3404
VKFRS,2008,4
VKFYT,2008,7
VKING,2008,250
YATAS,2008,1145
YAZIC,2008,9
YKBNK,2008,14795
YKRYO,2008,4
YKSGR,2008,888
YTFYO,2008,3
YUNSA,2008,1197
BURCE,1998,330
TURCAS,1998,165
YATAS,1998,
AKALT,1999,2271
AKBNK,1999,8383
ALARK,1999,45
ALFA,1999,
ATEKS,1999,1724
DOGUB,1999,143
ERCYS,1999,495
FNSYO,1999,
KENT,1999,
MEGES,1999,
PRTAS,1999,100
TBORG,1999,290
TOFAS,1999,205
VARYO,1999,3
YATAS,1999,
AKALT,2000,1978
AKGRT,2000,346
APEKS,2000,125
Ateks,2000,1671
CMBTN,2000,365
DOGUB,2000,138
DYHOL,2000,
FNSYO,2000,5
KCHOL,2000,170
NETAS,2000,921
SAHOL,2000,249
TBORG,2000,259
TKBNK,2000,941
VARYO,2000,3
AKALT,2001,1643
AKCNS,2001,904
ALKIM,2001,147
ASELS,2001,2744
Avrsy,2001,4
CMBTN,2001,230
dogub,2001,137
ECBYO,2001,1
Evren,2001,4
VARYO,2001,3
YASAS,2001,437
ATLAS,2002,4
AVRSY,2002,4
BISAS,2002,279
ESCOM,2002,68
EVREN,2002,4
GLBYO,2002,3
KUTPO,2002,821
TNSAS,2002,3996
TOASO,2002,4205
VARYO,2002,2
SODA,2002,1017
ATLAS,2003,2
AVRSY,2003,4
DOGUB,2003,71
EVREN,2003,2
FENER,2003,5
GLBYO,2003,2
HURGZ,2003,
IZMDC,2003,723
MZHLD,2003,
VARYO,2003,3
ATEKS,2004,1605
DJIST,2004,
DOGUB,2004,70
GRNYO,2004,3
IZMDC,2004,717
TOASO,2004,4430
ASELS,2005,3016
ATEKS,2005,1589
BURVA,2005,
DJIMT,2005,
DJIST,2005,
DOGUB,2005,71
EGFIN,2005,3
FORTS,2005,
HURGZ,2005,
IHEVA,2005,
NFIST,2005,
UNYEC,2005,223
VARYO,2005,2
OKANT,2005,10
AKSA,2006,568
ALKA,2006,193
ASELS,2006,3054
ATEKS,2006,1549
CEMTS,2006,311
DJIMT,2006,
DJIST,2006,
DOBUR,2006,
DOGUB,2006,61
edip,2006,
EREGL,2006,6674
GLDTR,2006,
HURGZ,2006,
ISYAT,2006,4
KERVT,2006,810
MZHLD,2006,20
NFIST,2006,
SELEC,2006,4697
SMIST,2006,
SPTUR,2006,
TATKS,2006,1342
TOASO,2006,5258
TUPRS,2006,4351
UNYEC,2006,225
GUBRF,2006,452
ABANA,2007,
ALKA,2007,193
ALKIM,2007,
ASELS,2007,3332
ATEKS,2007,1222
BIMAS,2007,9981
BSKYO,2007,2
CIMSA,2007,
DJIMT,2007,
DJIST,2007,
DOGUB,2007,33
EDIP,2007,
EVNYO,2007,
FBIST,2007,
GLDTR,2007,
HURGZ,2007,
ISDJE,2007,
IZOCM,2007,447
MMART,2007,
NFIST,2007,
SMIST,2007,
SPTUR,2007,
TKFEN,2007,15738
TTKOM,2007,38647
TUDDF,2007,
UNYEC,2007,228
VAKBN,2007,8700
ESCOM,2007,91
ADEL,2008,236
AKMGY,2008,4
ARMDA,2008,106
ASELS,2008,3675
ATEKS,2008,1508
AYGAZ,2008,1038
BIMAS,2008,10665
BRISA,2008,1565
BROVA,2008,11
CMENT,2008,532
DJIMT,2008,
DJIST,2008,
DOAS,2008,2005
DOGUB,2008,26
EDIP,2008,
EMKEL,2008,159
EVNYO,2008,2
FBIST,2008,
GLDTR,2008,
GRUND,2008,1987
INDES,2008,299
ISDJE,2008,
ISIGT,2008,
KCHOL,2008,200
KRTEK,2008,646
MEMSA,2008,309
MERKO,2008,217
METYO,2008,3
MUTLU,2008,543
MZHLD,2008,14
NFIST,2008,
NTHOL,2008,49
NTTUR,2008,66
PENGD,2008,
PINSU,2008,338
PNSUT,2008,773
SELGD,2008,24
SMIST,2008,
SPTUR,2008,
TACYO,2008,2
THYAO,2008,14072
TOASO,2008,1159
VESTL,2008,3905
YKFIN,2008,171
ZOREN,2008,911
TRKCM,1998,1587
TRKCM,1999,1532
TRKCM,2001,1470
TRKCM,2002,2204
TRKCM,2003,2041
TRKCM,2004,2038
TRKCM,2005,2283
TRKCM,2006,2769
TRKCM,2007,2894
TRKCM,2008,2886
AYGAZ,2005,1142
AYGAZ,2006,1100
AYGAZ,2007,1114
ECYAP,2006,2170
ECYAP,2007,1871
ECYAP,2008,1571
ALBRK,2007,1482
ARFYO,2007,4
ARFYO,2008,4
