,Firm,Year,Name
108,MRDIN,1998,MARDİN ÇİMENTO SANAYİİ ve TİCARET A.Ş.
109,YABNK,1998,TÜRKİYE TÜTÜNCÜLER BANKASI YAŞARBANK A.Ş.
110,Medya,1998,MEDYA HOLDİNG A.Ş.
111,VANET,1998,VAN-ET ENTEGRE ET SANAYİ ve TİCARET A.Ş.
112,CIMSA,1998,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
113,MZHLD,1998,MAZHAR ZORLU HOLDİNG A.Ş.
114,DERIM,1998,DERİMOD KONFEKSİYON AYAKKABI DERİ SAN.VE TİC.A.Ş.
115,TOFAS,1998,TOFAŞ OTO TİCARET A.Ş.
116,TATKS,1998,TAT KONSERVE SANAYİ A.Ş
117,DITAS,1998,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
118,SMENS,1998,TÜRK SIEMENS KABLO VE ELEKTRİK SANAYİ A.Ş.
119,AKBNK,1998,AKBANK   T.A.Ş
120,PENGD,1998,PENGUEN GIDA SANAYİ A.Ş.
121,BRYAT,1998,BORUSAN YATIRIM VE PAZARLAMA A.Ş.
122,AVRSY,1998,AVRASYA MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
123,ARSAN,1998,                   ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.
124,APEKS,1998,APEKS DIŞ TİCARET ANONİM ŞİRKETİ
125,SNPAM,1998,SÖNMEZ PAMUKLU SANAYİİ A.Ş.
126,EREGL,1998,EREĞLİ DEMİR ve ÇELİK FABRİKALARI T.A.Ş
127,RAKSE,1998,RAKS ELEKTRONİK SANAYİ VE TİCARET A.Ş.
128,BAKAB,1998,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
129,KENT,1998,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.
130,FNSYO,1998,FİNANS YATIRIM ORTAKLIĞI A.Ş.
131,ESBNK,1998,ESBANK ESKİŞEHİR BANKASI T.A.Ş.
132,VKGYO,1998,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
133,KOYTS,1998,KÖYTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
134,ALGYO,1998,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
135,EGBRA,1998,EGE BİRACILIK VE MALT SANAYİİ A.Ş.
136,IZOCM,1998, İZOCAM TİCARET VE SANAYİ A.Ş.
137,bumyo,1998,BUMERANG YATIRIM ORTAKLIĞI A.Ş.
138,BANVT,1998,BANVİT BANDIRMA VİTAMİNLİ YEM SAN.A.Ş.
139,THYAO,1998,TÜRK HAVAYOLLARI A.O.
140,PEGPR,1998,BSH PROFİLO ELEKTRİKLİ GEREÇLER SANAYİİ A.Ş.
141,GLOBL,1998,GLOBAL MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
142,KRDMR,1998,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
143,TOASO,1998,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
144,TUDDF,1998,TÜRK DEMİR DÖKÜM FABRİKASI A.Ş.
145,TPFAC,1998,TOPRAK FACTORING A.Ş.
146,DISBA,1998,TÜRK DIŞ TİCARET BANKASI A.Ş.
147,ABANA,1998,ABANA ELEKTROMEKANİK SAN. VE TİC. A.Ş.
148,DEVA,1998,DEVA HOLDİNG A.Ş.
149,BRISA,1998,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİC.A.Ş
150,EPLAS,1998,EGEPLAST EGE PLASTİK TİCARET VE SANAYİİ A.Ş.
151,EDIP,1998,EDİP İPLİK SANAYİ VE TİCARET A.Ş.
152,ALTIN,1998,ALTINYILDIZ MENSUCAT VE KONFEKSİYON FAB. A.Ş
153,PKENT,1998,PETROKENT TURİZM A.Ş.
154,ADEL,1998,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
155,YASAS,1998,YASAŞ YAŞAR BOYA VE KİMYA SAN.VE TİC.A.Ş.
156,COMUN,1998,COMMERCIAL UNION SİGORTA A.Ş.
157,PETKM,1998,PETKİM PETROKİMYA HOLDİNG A.Ş.
158,UNYEC,1998,ÜNYE ÇİMENTO SANAYİİ VE TİCARET A.Ş.
159,SAPAZ,1998,SABAH PAZARLAMA A.Ş.
160,DMRYO,1998,DEMİR  YATIRIM  ORTAKLIĞI  A.Ş.
161,EGGUB,1998,EGE GÜBRE SANAYİİ A.Ş.
162,ERCYS,1998,ERCİYAS BİRACILIK VE MALT SANAYİİ A.Ş.
163,FACF,1998,FACTOFİNANS ALACAK ALIMI A.Ş.
164,DOHOL,1998,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
165,Alfa,1998,ALFA MENKUL DEĞERLER A.Ş.
166,BUCIM,1998,BURSA ÇİMENTO FABRİKASI A.Ş.
167,CARSI,1998,ÇARŞI BÜYÜK MAĞAZACILIK A.Ş.
168,KIPA,1998,KİPA KİTLE PAZARLAMA VE GIDA SAN.VE TİC.A.Ş.
169,MIPAZ,1998,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.
170,konya,1998,KONYA ÇİMENTO SANAYİİ A.Ş.
171,GUSGR,1998,GÜNEŞ   SİGORTA   A.Ş.
172,SARKY,1998,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİİ VE TİC.A.Ş.
173,MERKO,1998,MERKO GIDA SANAYİ VE TİCARET A.Ş.
174,SAHOL,1998,HACI ÖMER SABANCI HOLDİNG A.Ş.
175,SISE,1998,"
TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş."
176,ARDEM,1998,ARDEM PİŞİRİCİ VE ISITICI CİHAZLAR SANAYİİ A.Ş.
177,ARCLK,1998,ARÇELİK A.Ş.
178,PRKTE,1998,PARK TEKSTİL SANAYİ VE TİCARET A.Ş.
179,CELHA,1998,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
180,EMKEL,1998,EMEK ELEKTRİK ENDÜSTRİSİ AŞ.
181,GLMDE,1998,GLOBAL MENKUL DEĞERLER A.Ş.
182,FFKRL,1998,FİNANS FİNANSAL KİRALAMA A.Ş.
183,GARAN,1998,T. GARANTİ BANKASI A.Ş.
184,NIGDE,1998,OYSA NİĞDE ÇİMENTO SANAYİİ VE TİCARET A.Ş.
185,MUTLU,1998,MUTLU AKÜ VE MALZEMELERİ SANAYİ A.Ş.
186,GEDIZ,1998,GİMSAN GEDİZ İPLİK VE MENSUCAT SANAYİİ A.Ş.
187,EGSER,1998,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
188,KCHOL,1998,KOÇ HOLDİNG A.Ş.
189,METAS,1998,METAŞ İZMİR METALURJİ FABRİKASI T.A.Ş.
190,ARAT,1998,ARAT TEKSTİL SANAYİ VE TİCARET A.Ş.
191,IHLAS,1998,İHLAS HOLDİNG ANONİM ŞİRKETİ
192,EGIYM,1998,EGS EGESER GİYİM SANAYİ İÇ VE DIŞ TİCARET A.Ş
193,PASTA,1998,PASTAVİLLA MAKARNACILIK SANAYİ VE TİCARET A.Ş.
194,ADANA,1998,ADANA ÇİMENTO SANAYİİ T.A.Ş.
195,YKBNK,1998,YAPI ve KREDİ BANKASI A.Ş.
196,TUPRS,1998,TÜPRAŞ TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
197,FINBN,1998,FİNANSBANK A.Ş.
198,PARSN,1998,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
199,YKRYO,1998,YAPI KREDİ YATIRIM ORTAKLIĞI A.Ş.
