Firm;Year;EstInvAmount;unitEA;RealizedInvAmount;unitRA;Inv_Name;beg_date;end_date
MARET;2002;10.000;(Milyon-Million TL);"3.026
";(Milyon-Million TL);"SOĞUTUCU KUMAN.A.G.ENERJİ HATTI
 (LOW VOLTAGE ELECTRIC LINES AND COOLING CONTROL SYSTEM)";2002-11-01;2003-10-01
MARET;2002;49.000;(Milyon-Million TL);42.109;(Milyon-Million TL);"SOĞUK DEPO POLİÜRETAN DEPO PANEL
 (COOLING ROOM INSULATION)";2002-08-01;2003-09-01
MARET;2002;8.500;(Milyon-Million TL);"6.332
";(Milyon-Million TL);"İZOLELİ DONUK VE SOĞUK DEPO KAPI
 (COOLING ROOMINSULATED DOORS)";2002-12-01;2003-09-01
MARET;2002;35.000;(Milyon-Million TL);24.626;(Milyon-Million TL);"ARITMA ATIK SU KANALI(İNŞAAT)
 (CANAL FOR WASTE  WATER)";2001-11-01;2003-11-01
MARET;2002;135.000;(Milyon-Million TL);"102.720
";(Milyon-Million TL);"ZEMİN TADİLATLARI
 (FLOOR RECONSTRUCTION)";2001-12-01;2003-11-01
MARET;2002;299.000;(Milyon-Million TL);93.562;(Milyon-Million TL);"BEYAZ ET PARÇALAMA HATTI
 (CUT UP LNE FOR CHICKEN)";2002-10-01;2003-09-01
MARET;2002;235.000;(Milyon-Million TL);"92.005
";(Milyon-Million TL);"AMBALAJ MAKİNASI (GAZLI)
 (FLOW PACK MACHINE WITH GAS INJECTION)";2002-12-01;2003-09-01
MARET;2002;5.500;(Milyon-Million TL);"5.152
";(Milyon-Million TL);"AYAK DEZENFEKSİYON MAKİNASI
 (BOOT WASHER)";2002-12-01;2003-08-01
MARET;2002;240.000;(Milyon-Million TL);"31.943
";(Milyon-Million TL);"DİLİMLEME MAKİNASI
 (SLICER)";2002-12-01;2003-10-01
MEGES;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
MEMSA;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
MERKO;2002;4.000;(Milyon-Million TL);860;(Milyon-Million TL);"Tepecik Prefabrik binalar
 (Tepecik Prefabric Build)";2002-01-01;2002-01-01
METAS;2002;‘’---‘’;(Milyon-Million TL);‘’---‘’;(Milyon-Million TL);;2002-01-01;2002-01-01
METUR;2002;2.700.000;(Milyon-Million TL);50.997;(Milyon-Million TL);"METEMTUR TATİL KÖYÜ MODERNİZASYONU
(THE MODERNİZATION OF METEM HOLIDAY CLUB)
";2002-01-01;2004-01-01
MIGRS;2002;13.518.964;(Milyon-Million TL);7.741.339;(Milyon-Million TL);"SATIŞ MAĞAZALARI
 (STORES)";2002-06-01;2003-08-01
MMART;2002;    2.695.042     (*);(Milyon-Million TL);7.576.922;(Milyon-Million TL);"LA PERLA HOTELİ YENİLENMESİ
(Renovatıon Of La Perla Hotel)
Bu yatırımın % 98’i 31.12.2002 tarihi itibariyle tamamlanmış ve aktifleştirilmiştir.";1998-01-01;2002-01-01
MMART;2002;     5.378.388     (*);(Milyon-Million TL);44.236;(Milyon-Million TL);"SARIGERME 1.SINIF TATİL KÖYÜ 500 YATAKLI
(Sarıgerme First Class Holiday Village 500  Beds)
Yatırıma, SİT Kurulunun bölge yatırımları projeleri revizyonunun tamamlanması ile başlanacaktır. ";1998-01-01;2002-01-01
MMART;2002;"
    14.005.648    (*)";(Milyon-Million TL);804.973;(Milyon-Million TL);MARTI TATİL KÖYÜ KONAKLAMA ÜNİTELERİ,YİYECEK İÇECEK ÜNİTELERİ,AÇIK VE KAPALI REKREASYON ALANLARI,GENEL YÖNETİM ÜNİTELERİ, GÜVENLİK , TEKNİK VE TEKNOLOJİK ALT YAPI, ÇEVRE DÜZENLEMELERİNİN YENİLENMESİ,MODERNİZASYONU (Renovation And Modernization Of Accomodation Units, Food And Beverage Units, Indoor And Outdoor Recreation Areas,General Administration Units, Security, Technical And Technological Substructure And Landcaping Of Martı Holiday Village.);2002-01-01;2005-01-01
MNDRS;2002;"3.314.167 
";(Milyon-Million TL);"3.314.167 
";(Milyon-Million TL);"51697 NO’ LU TEŞVİK ENTEGRASYON
Encouragement Entegratıon Of 51697";1997-07-31;2001-12-31
MNDRS;2002;"246.321
";(Milyon-Million TL);"246.321
";(Milyon-Million TL);"55711/A NO’ LU TEŞVİK KOMPLE YENİ YATIRIM
Encouragement Complete Latest Investment Of 55711/A";1999-06-04;2001-06-06
MNDRS;2002;"5.942.704 

";(Milyon-Million TL);"5.942.704 
";(Milyon-Million TL);"60550 NO’ LU TEŞVİK YENİLEME TEVSİİ
Encouragement Reınvestment Of No:60550";1999-08-31;2001-12-31
MNDRS;2002;"9.227.769 
";(Milyon-Million TL);"9.227.769 
";(Milyon-Million TL);"67338 NO’ LU TEŞVİK TEVSİİ YATIRIM PROJESİ
Project To Encouragement Reınvestment Of No:67338";2002-02-12;2002-11-30
MNDRS;2002;"19.798.570 
";(Milyon-Million TL);"1.979.857 
";(Milyon-Million TL);"70021 NO’ LU TEŞVİK TEVSİİ YATIRIM PROJESİ
Project To Encouragement Reınvestment Of No:70021";2002-11-25;2002-01-01
MRDIN;2002;1.567.225;(Milyon-Million TL);1.514.232;(Milyon-Million TL);"Kapalı Kömür Stokholü
 (Closed Coal Storage)";2001-01-01;2003-03-31
MRSHL;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
MTEKS;2002;---;(Milyon-Million TL);---;(Milyon-Million TL);---;2002-01-01;2002-01-01
MUTLU;2002;2.192.082;(Milyon-Million TL);3.444.217;(Milyon-Million TL);"MODERNİZASYON
MODERNISATION";2000-08-22;2002-06-15
MUTLU;2002;5.786.000;(Milyon-Million TL);1.406.586;(Milyon-Million TL);"MODERNİZASYON
MODERNISATION";2002-06-13;2004-06-13
NERGS;2002;                ---;(Milyon-Million TL);---;(Milyon-Million TL);                          ----;2002-01-01;2002-01-01
NETAS;2002;5,550,000;(Milyon-Million TL);%15;(Milyon-Million TL);"YATIRIMIN TÜRKÇE KISA ADI
 (YATIRIMIN İNGİLİZCE KISA ADI)";2002-01-01;2002-01-01
NIGDE;2002;560.000.-;(Milyon-Million TL);116.641.-;(Milyon-Million TL);"DARBOĞAZ GİDERME-MODERNİZASYON-KALİTE DÜZELTME
(ELİMİNATİON OF BOTTLE-NECKS, MODERNİZATİON,GUALİTY İMPROVEMENT )";2002-07-05;2004-07-05
NTTUR;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
NUHCM;2002;84.417.540;(Milyon-Million TL);7.485.734;(Milyon-Million TL);"III.KLİNKER ÜRETİM HATTI
 (3 RD CLİNKER PRODUCTİON LİNE)";2000-04-21;2004-05-06
NUHCM;2002;3.500.000;(Milyon-Million TL);46.180;(Milyon-Million TL);"İLAVE YANAŞMA RIHTIMI
 (ADDİTİONAL PORT JACİLİTİES)";2000-10-02;2003-10-16
NUHCM;2002;6.900.000;(Milyon-Million TL);-;(Milyon-Million TL);"TEVSİ İŞ MAKİNALARI MODERNİZASYONU
 (VARİOUS INVESTMENTS OF CEMENT WORKS)";2002-12-31;2004-12-31
OKANT;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
OLMKS;2002;-;(Milyon-Million TL);-;(Milyon-Million TL);-;2002-01-01;2002-01-01
OTKAR;2002;--;(Milyon-Million TL);--;(Milyon-Million TL);--;2002-01-01;2002-01-01
PARSN;2002;1.548.110;(Milyon-Million TL);1.650.303;(Milyon-Million TL);Modernizasyon ve Darboğaz Giderici;1999-03-16;2002-12-31
